date,title,txt
2021.10.25 17:47,'균등배정' 카카오페이…뭉칫돈 청약 없었다,"류영준 카카오페이 대표가 25일 온라인 기자간담회를 하고 있다. [사진 제공 = 카카오페이]
카카오페이의 일반 공모 첫날 1조5000억원 규모 청약 증거금이 유입됐다. 어느 증권사에 청약할지를 놓고 개인 투자자들 사이에서 눈치 싸움이 치열하게 펼쳐졌다. 카카오페이는 이번 청약에서 모든 물량을 균등 방식으로 배정한다. 청약을 흥행시키고자 '국민주 전략'을 택한 것이다.

카카오페이 상장 주관사인 삼성증권에 따르면 25일 오후 4시 기준 공모 청약 경쟁률은 7.97대1이었다. 총 60만863명이 참여했으며 청약 증거금 규모는 1조5241억원이었다. 현재까지 청약 상황만 고려하면 1인당 7.07주를 받을 수 있다. 청약 물량이 마감(26일 오후 4시) 직전에 몰리는 걸 감안하면 1인당 배정되는 물량은 크게 줄어들 것으로 전망된다. 삼성증권에는 7606억원이 몰렸으며, 한국투자증권(5407억원), 대신증권(1217억원), 신한금융투자(1012억원) 순으로 증거금 유입 규모가 많았다. 경쟁률로 봤을 땐 한국투자증권(16.96대1)과 신한금융투자(12.69대1)가 높은 편이었다.

카카오페이의 첫날 청약 기록은 지난 8월 상장한 카카오뱅크(12조521억원)와 차이가 크다. 하지만 시장에선 카카오페이 첫날 증거금에 큰 의미를 부여하지 않는 분위기다. 여러 증권사에 중복 청약이 불가능한 데다 카카오페이의 공모 청약 전략이 색다르기 때문이다. 카카오페이는 공모주 역사상 처음으로 일반 청약 물량을 모두 균등 배정하기로 했다. 청약 증거금을 많이 납입한 투자자가 유리하지 않다는 얘기다. 이전에 공모주를 발행한 기업들은 일반 청약 시 균등·비례 물량을 절반씩 할애했다.


올해 기업공개(IPO) 마지막 대어로 평가되는 카카오페이 공모주 청약이 시작된 25일 서울 서초구 삼성증권 삼성타운금융센터를 찾은 고객들이 상담을 하고 있다. [박형기 기자]
카카오페이는 금융 장벽을 낮추자는 취지에서 이 같은 방식을 택했다. 이번 청약 물량은 425만주인데, 산술적으로 425만명 이상이 청약에 참여하면 한 주도 못 받는 투자자가 나올 수 있다. 이에 대해 회사 측은 ""자체 시뮬레이션 테스트 결과 모든 청약 참여자가 한 주씩 받게 될 것으로 예상한다""고 설명했다.

한편 카카오페이는 25일 온라인 기자간담회를 통해 향후 성장 청사진을 밝혔다. 기업공개(IPO)를 계기로 '국민 생활 금융 플랫폼'으로 거듭나겠다는 입장이다. 류영준 카카오페이 대표는 ""우리의 지향점은 고객들이 카카오페이 하나만으로 다양한 금융 서비스를 쉽고 편하게 누릴 수 있도록 하는 것""이라며 ""편의성과 안정성을 겸비한 기술력으로 점유율을 빠르게 높일 계획""이라고 말했다. 카카오페이는 내년 초까지 모바일 주식 거래 서비스(MTS)를 열어 고객 편의를 높이고, 보험 상품 서비스도 시작할 계획이다. 카카오페이는 지난 6월 디지털 손해보험사 예비허가를 받았으며 본인가 신청을 준비 중이다. 국민 플랫폼을 넘어 세계시장으로 사업을 확장하기 위해서다. 류 대표는 ""해외 핀테크 사업자와 파트너십을 기반으로 진출 발판을 마련하고 있다""며 ""5년 뒤엔 해외 사업 비중이 의미 있는 수준이 될 정도로 키우는 것이 목표""라고 설명했다. 카카오페이는 2014년 국내에서 처음으로 간편결제 사업을 시작했다. 올 6월 말 기준 누적 가입자는 3650만명이며, 월간이용자수(MAU)는 2000만명 수준이다. 최근 12개월 동안 거래액은 약 85조원이다. 올 상반기엔 흑자 전환에 성공했다. 연결 기준 1분기 매출은 1071억원, 영업이익은 108억원이었다.

[강우석 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.10.25 17:46,삼성전자 저가매수 자금 '삼성그룹 ETF'에 몰린다,"삼성전자 주가가 6만원대로 떨어진 이달 개인투자자는 삼성 계열사에 분산 투자하는 삼성그룹펀드와 상장지수펀드(ETF) 매수에 나선 것으로 나타났다. 삼성전자 주가가 하락하는 가운데 장기적 관점에서 저점 매수 기회가 왔다는 분석과 다른 삼성 계열사에 분산 투자해 수익률 하방 방어가 용이하다는 점 등이 영향을 미친 것으로 풀이된다.

25일 에프앤가이드에 따르면 지난 1개월 삼성그룹펀드에는 약 1633억원이 유입됐다. 삼성그룹 펀드에선 지난달까지 619억원이 유출됐지만, 이달 들어 자금이 유입세로 전환된 모습이다. 지난 한 달 새 자금이 가장 많이 유입된 삼성그룹 펀드는 '우리삼성그룹' 펀드로 25억원가량이 몰렸다. 이 밖에 '한국투자삼성그룹적립식' 펀드와 '삼성당신을위한삼성그룹밸류인덱스' 펀드에도 각각 6억원, 3억원이 몰려 소액이지만 자금이 꾸준히 들어오는 모양새다.

삼성그룹 계열사에 투자하는 ETF에도 투자금이 유입됐다. 한국거래소에 따르면 지난달 17일부터 22일까지 개인투자자는 삼성그룹 ETF 중 규모가 가장 큰 '코덱스(KODEX) 삼성그룹' ETF를 약 28억원어치 순매수했다. 삼성그룹펀드에 투자금이 몰리는 이유는 삼성전자 이외 삼성 계열사에 분산 투자한다는 특성상 위험 헤징이 가능하기 때문으로 보인다. 일례로 코덱스 삼성그룹 ETF는 삼성전자(21.90%) 외에도 삼성SDI(27.18%), 삼성바이오로직스(10.58%), 삼성물산(8.50%) 등 우량주와 호텔신라(1.96%), 제일기획(1.21%) 등 리오프닝 수혜주를 편입하고 있다. 킨덱스 삼성그룹동일가중 ETF는 제일기획(7.32%)에 가장 높은 비중으로 투자하며 이어 삼성화재(7.02%), 삼성카드(6.96%), 삼성SDI(6.92%) 등을 상위 비중으로 담고 있다. 삼성전자(6.31%)는 비중이 14위에 불과하다.

이처럼 분산 효과가 뚜렷한 펀드에 투자하는 게 지금처럼 증시 변동성이 심해 개별 종목에 직접 투자가 어려운 국면에선 비교적 유리하다는 투자자들의 판단이 작용한 셈이다.

코스피 대장주 삼성전자는 이달 들어 '6만 전자' 오명을 떨쳐내지 못하고 있다. 삼성전자 주가는 지난 12일 7만원 선이 붕괴된 후 다음날 6만8300원까지 떨어졌다. 이후 19일 7만원 선을 회복해 횡보세를 보였지만 이날 장 초반에 다시 6만원 선으로 밀렸다가 7만200원으로 마감했다.

반면 삼성그룹 펀드는 삼성전자가 6만 전자로 하락하는 기간 동안 비교적 수익률 하방 압력 방어에 성공적이었다.

지난 1개월 삼성전자 주가는 9.40% 하락했지만 삼성그룹 펀드 평균 수익률은 4.15% 하락하는 데 그쳤다. 이 기간 코스피는 3.66% 하락했다.


전문가들은 삼성전자 주가 반등 시기를 예측하기는 어렵지만, 긴 호흡으로 봤을 때 현재는 삼성그룹펀드 저가 매수 전략이 통할 수 있는 구간이라고 분석했다. 임태혁 삼성자산운용 ETF운용1팀장은 ""삼성그룹 계열사 전반이 반도체나 바이오를 중심으로 대규모 투자를 앞두고 있다""며 ""삼성전자 주가가 고점을 찍고 밀린 상황에서 삼성 계열사 우량주 전반에 투자하고 싶은 투자자들의 관심이 모이고 있다""고 설명했다.

김후정 유안타증권 연구원은 ""증시 변동성이 컸던 최근 3~4개월 동안 공모펀드 시장 전체에 자금이 유입 중인 상황도 영향을 미쳤을 것""이라고 분석했다. ""개별 투자가 어려워 간접 투자 유인이 이미 생긴 가운데 기존에 충분히 신뢰를 줬던 삼성그룹 펀드가 대안이 됐다""는 설명이다. 김 연구원은 ""삼성그룹주 펀드 자체가 원체 투자자들이 선호하던 펀드라 기본적인 수요가 있기 때문에 지금처럼 가격 메리트가 있다고 판단되는 시점에 진입하는 투자자가 많다""고 덧붙였다.

[신화 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.10.25 17:47,포스코 질주…영업익 4.6배 폭증,"포스코가 2개 분기 연속 최대 실적 기록을 갈아치우며 질주를 이어가고 있다. 자동차, 조선 등 전방산업 수익성 개선으로 인해 올해 3분기 영업이익은 전년 동기 대비 4.6배 폭증했다.

25일 포스코는 올해 3분기 연결기준 매출 20조6400억원, 영업이익 3조1200억원을 기록했다고 밝혔다. 각각 전년 동기 대비 44.7%, 365.7% 증가한 수치다. 특히 영업이익은 에프앤가이드가 측정한 예상치(컨센서스)를 약 20% 상회한 '어닝 서프라이즈' 수준이다. 법인세를 차감한 당기순이익은 2조6300억원으로 전년 동기 대비 415.7% 증가했다.

앞서 포스코는 지난 2분기에는 영업이익 2조2010억원을 기록하며 2006년 이후 최대 규모 실적을 거뒀다. 당장 이번 3분기에 지난 분기보다 약 9000억원 이익이 더 늘어난 우수한 성적표를 거머쥐면서 포스코는 첫 영업이익 3조원대에 진입하게 됐다.

포스코가 계속 호실적을 이어간 동력은 세계 철강 수요가 지속적으로 증가하고 있기 때문이다. 중국 정부의 감산 정책으로 인해 공급이 따라오지 못하자 철강값이 크게 뛰며 수익성에 초록불이 켜졌다. 포스코는 열연 가격을 지난 7·9월 t당 각각 10만원, 5만원 인상했다. 냉연도금재는 같은 기간 t당 각각 10만원, 7만원 올렸다. 변종만 NH투자증권 연구원은 ""중국의 철강 감산은 베이징 동계 올림픽이 열리는 내년 1분기까지 이어질 것으로 예상된다""며 ""포스코의 높아진 이익 규모는 4분기에도 유지될 것""이라고 밝혔다. 실적 장세가 이어지고 있지만 포스코 주가는 지지부진한 모습이다. 25일 기준 포스코 주가는 31만3000원으로 지난 5월 고점 대비 약 24% 하락했다. 최근 5개월간 외국인은 1510억원, 기관은 4502억원어치 순매도했다.

[차창희 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.10.25 17:47,"빅테크 실적시즌…월가 ""애플·MS 주목""","미국 뉴욕 증시 상장 기업들이 '2021년 3분기(7~9월) 실적' 공개를 시작한 가운데 이번 주에는 애플과 아마존, 페이스북, 구글 알파벳 등 빅테크 기업들이 실적을 알린다. 최근 대형 헤지펀드들이 빅테크 종목 투자 노출을 2년 만에 최저 수준으로 줄였다는 월가 분석이 나온 만큼 실적에 따른 주가 반응도 관심사다. 한편 중요한 경제지표로는 미국 3분기 경제 성장률이 이번 주 후반부에 발표된다.

24일(현지시간) 팩트셋 집계에 따르면 이번 주에 빅테크 FAAMG(페이스북·애플·아마존·마이크로소프트·구글 알파벳)를 비롯해 스탠더드앤드푸어스(S&P)500지수 상장 기업 중 3분의 1에 달하는 151곳이 3분기 실적을 발표한다.

월가에서는 이번 주 빅테크 실적 발표가 증시에 미칠 영향에 촉각을 곤두세우는 분위기다. 골드만삭스의 프라임브로커가 미국 헤지펀드사들의 투자 포트폴리오를 분석한 바에 따르면 지난달 헤지펀들의 FAAMG 기업 투자 노출도가 13% 밑으로 떨어져 2019년 9월 이후 2년 만에 최저 수준을 보였다. 24일 블룸버그 인텔리전스 분석에 따르면 FAAMG 기업들 올 3분기 실적을 보면 통틀어 총 670억달러 이익을 낼 것으로 추정되는데 이는 1년 전보다 30% 늘어난 수치이고 S&P500지수 연중 상승세를 앞선다.

빅테크 기업 중 특히 사회관계망서비스(SNS) 사업에 주력하는 기업들은 최근 '맞춤형 광고 리스크'를 마주하고 있다. 동영상 기반 메신저 업체인 스냅이 3분기 실적 발표 자리에서 광고 수익 급감 경고음을 낸 다음날인 22일, 해당 기업 주가가 26.59% 급락한 바 있다. 스냅은 애플의 아이폰 애플리케이션(앱) 정보보호 강화 조치와 코로나19 대유행기 기업 활동 위축에 따른 광고 수익 급감 가능성을 지적했는데 비슷한 수익원을 가진 트위터와 페이스북 전망도 좋지 않을 것이라는 우려가 나온다.

이런 가운데 댄 아이브스 웨드부시증권 연구원은 지난주 투자 메모를 통해 마이크로소프트에 대해 '매수' 투자 의견을 유지하면서 주당 목표 주가를 기존 350달러에서 375달러로 높여 잡았다. 그는 ""마이크로소프트의 클라우드 서비스인 애저 사업이 실적을 견인할 것이며 3분기 실적은 '대작'이 될 것""이라면서 ""클라우드 업계 대형주 중 가장 선호하는 종목""이라며 기대감을 표했다. 브렌트 틸 제프리스 연구원도 마이크로소프트에 대해 매수 의견을 유지하며 목표 주가를 기존 345달러에서 375달러로 높였다. 한편 UBS와 골드만삭스 등은 인플레이션 압박에도 가격 결정력이 있는 기업에 주목해야 한다는 이유에서 애플에 주목한다.

[김인오 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.10.25 17:46,SMR 들썩이자…두산重 등 원전주 뜀박질,"영국, 프랑스에 이어 일본이 소형모듈원자로(SMR) 투자를 늘릴 것으로 보이는 가운데 국내 증시에서도 '원전주(원자력 관련주)'가 주목받고 있다. 대형 원전과 비교해 10~20분의 1 크기에 불과한 SMR는 어디에서나 만들 수 있고 폐기물이 적으며 사고 발생률이 현저히 낮아 주목받고 있는 차세대 원자력 기술이다.

25일 한국거래소에 따르면 두산중공업, 한전기술, 한전KPS 등 원전주 주가는 지난 12일부터 최근 10거래일 동안 크게 올랐다. 두산중공업은 10거래일 만에 35.8% 오른 2만5750원에 거래를 마감했으며, 한전기술 주가는 7만2900원에 마감돼 65.8% 올랐다. 이날 한전KPS 주가도 10거래일 만에 19.1% 상승한 4만4200원을 기록했다. 최근 들어 원전주가 상승세를 이어가는 가장 큰 이유는 주요 선진국들이 SMR 투자에 대한 의지를 밝혔기 때문이다. 우선 지난 12일 에마뉘엘 마크롱 프랑스 대통령이 SMR 등에 10억유로를 투자하겠다며 포문을 열었다. 이어 지난 19일 보리스 존슨 영국 총리도 2050년까지 탄소중립을 달성하기 위해 원전 산업에 투자하겠다고 말했다. 아마리 아키라 일본 자민당 간사장 역시 최근 기존 노후 원전을 SMR로 대체할 필요성을 언급했다.

두산중공업은 원전 핵심 장비인 원자로를 포함한 각종 주요 기기를 개발하고 있다. 사용후핵연료 운반과 저장용기 개발, 원전 해체 등을 포함해 원전과 관련된 다양한 사업을 전개하고 있다. 정부에서 추진한 탈원전 정책 직격탄을 맞으며 한때 주가가 2000원대 초반까지 급락했다가 저점 대비 1200%가 넘는 상승률을 보여 '두슬라(두산중공업+테슬라)'라는 애칭을 얻기도 했다. 한전기술은 원전 종합설계와 원자로계통설계 기술을 함께 보유하고 있는 업체다. 해외 발전플랜트 분야 설계·구매·건설(EPC) 사업으로 영역을 확대하기도 했다.

문경원 메리츠증권 연구원은 ""최근 밸류에이션이 급등했고 연말까지 추가적인 이벤트가 부족하다는 점 등이 있어 매수 시점에 대한 고민은 필요하다""고 분석했다.

[이종화 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.10.25 18:44,"[레이더M] IMM PE, 한샘 경영권 지분 주식매매계약 체결","[본 기사는 10월 25일(18:33) '레이더M'에 보도 된 기사입니다]

25일 사모펀드(PEF)운용사 IMM프라이빗에쿼티(PE)가 이날 한샘 경영권 지분을 인수하는 주식매매계약(SPA)을 체결했다고 밝혔다. 거래 대상은 조창걸 명예회장 외 특수관계인들의 소유 지분이다. 보통주 652만여주에 해당하며 유효지분율은 37.8%다. 인수 가격은 1조4500억원 상당으로 알려졌다.

한샘은 1970년 9월 설립된 인터레어·가구 기업이다. IMM PE 측은 ＂주거공간 혁신을 통해 인테리어 및 가구 부문 브랜드 가치 1위를 지켜온 회사＂라고 강조했다. 이어 ＂한샘은 고객들의 다양한 니즈를 만족시킬 수 있는 디자인과 상품을 개발했고, 높은 품질의 시공 서비스를 통해 35조원 규모의 인테리어·가구 시장의 성장을 견인해왔다＂고 투자 이유를 설명했다.

IMM PE는 주거공간에 대한 소비자 관심이 확산하며 한샘의 매출이 더욱 상승할 것으로 보고 있다. MM PE는 과거 더블유컨셉, 할리스커피, 태림포장, 대한전선 등 경영권 지분을 인수한 뒤 기업 가치를 제고했던 역량을 한샘에도 십분 발휘한다는 포부다.


IMM PE 측은 ＂한샘은 지난 50년간의 업력을 기반으로 가격 투명성을 높이고, 서비스 품질을 균일화했으며, 고객 중심의 애프터서비스(A/S)를 실시해왔다＂며 ＂우리는 한샘이 향후에도 고객들에게 지속적으로 차별화된 가치를 제공하는 인테리어·가구 시장의 독보적 1등 회사로서 위상을 이어갈 수 있도록 도울 것＂이라고 말했다.

한샘 인수엔 롯데그룹도 3000억원가량을 출자했다. 인수자 측은 한샘이 롯데쇼핑, 롯데하이마트의 유통망을 활용하면 물류, 렌탈, B2B 특판에서 더욱 다양한 기회를 발견할 수 있을 것으로 기대하고 있다. IMM PE 관계자는 ＂제품군을 확장하고, 공사 기간을 대폭 축소한 시공 서비스를 출시하며, 신규 자재를 개발 및 적용해서 고객들에게 주거 환경의 혁신과 감동을 제공하는 브랜드로 거듭날 것＂이라고 했다.

[박창영 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.10.25 18:19,"디앤디파마텍 등 3개사, 코스닥 상장예비심사 청구","코스닥(PG)
한국거래소는 이달 18일부터 22일까지 디앤디파마텍 등 3개사가 코스닥 상장예비심사 청구서를 제출했다고 25일 밝혔다.

디앤디파마텍은 퇴행성 뇌질환 진단 및 치료제를 주력으로 하는 자연과학 및 공학 연구 개발업체다. 상장 주선인은 한국투자증권이다.

하이딥은 시스템 반도체 및 IC(Integrated Chip) 설계 업체다. NH투자증권[005940]이 상장 주선인이다.

DB금융제10호기업인수목적은 기업 인수·합병을 위한 기업인수목적회사(스팩·SPAC)다. DB금융투자[016610]가 주관사를 맡았다.

[연합뉴스]

Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지"
2021.10.25 17:47,"쿠팡, 연매출 20조시대 열까","서울 양재동의 한 화물트럭 터미널에 쿠팡 배달 트럭들이 늘어서 있다. [사진 = 박형기 기자]
쿠팡이 이르면 다음달 첫째주에 3분기 실적 발표를 앞두고 있는 가운데 매출 7조원 돌파와 함께 연매출 20조원 시대를 열 수 있을지 관심이 집중된다. 쿠팡은 최근 3000억원 규모 증자로 올해만 9000억원이 넘는 자금 수혈로 실탄을 확보한 뒤, 배달 사업인 쿠팡이츠와 신선식품 배송 사업인 로켓프레시 등 시장 점유율을 높이기 위한 총력전을 펼치고 있다.

25일 쿠팡에 따르면 회사 측은 지난 19일 이사회를 열고 유상증자로 2938억5000만원을 조달하기로 했다. 쿠팡Inc는 쿠팡 주식회사 지분 100%를 소유한 모회사다.

쿠팡은 외부 투자자에게 투자를 받으면, 쿠팡Inc가 모든 자금을 받고나서 이를 다시 한국의 쿠팡 주식회사에 전달하는 식으로 사업을 꾸려왔다. 예를 들어 소프트뱅크 비전펀드에게 투자받은 돈은 쿠팡의 모회사가 쥐고 있다가 한국 회사로 증자를 통해 자금을 수혈하는 식이다.

이번 증자는 올해 쿠팡이 세 번째로 조달한 자금이다. 지난 4월에는 3910억5000만원, 7월에는 2287억원 등 약 6198억원을 증자했다. 쿠팡 측은 ""지난 4월 말 공정거래법상 대기업 집단에 포함되면서 공시 의무를 갖게 돼 증자액을 공시한 것""이라고 설명했다.

앞서 쿠팡Inc는 2018년 11월 소프트뱅크로부터 약 20억 달러(약 2조2500억원)를 투자받은 뒤 2019년에 유상증자 규모를 본격적으로 늘렸다. 올해도 미국 뉴욕 증시 상장 이후 5조 원의 현금을 확보하면서 유상증자 규모를 늘린 것이다.

업계에 따르면 쿠팡의 이번 3분기 매출은 추석과 두 차례의 대체공휴일 등에 힘입어 지난 2분기 때 달성한 최고 매출인 5조원을 상회하는 수치를 기록한 것으로 전해졌다. 연말에 매출이 더 늘어날 것으로 가정하면 지난해 매출 13조원보다 7조원이 더 많은 20조원 달성도 가능할 것으로 보고 있다. 한 업계 관계자는 ""쿠팡이 매출 20조원을 넘으면 지난해 유통업계 최초로 매출 20조원 시대를 연 이마트와 어깨를 나란히 하는 것이다. 롯데쇼핑 16조원과 GS리테일 10조원을 뛰어넘는 수치""라고 설명했다.


올해만 9000억원의 실탄을 확보한 쿠팡의 최우선 목표는 쿠팡이츠의 배달 시장 점유율 확대다. 최근 서울 전 지역에서 연중무휴로 새벽 시간대 단건배달에 나서는 초강수로 업계 1위인 배달의민족의 단건 배달이 가동되지 않은 시간에 맞불을 놨다. 최근에는 기존 이용자 대상으로 음식값이나 배달비를 최대 4000원에 할인된 가격에 주문할 수 있는 '시크릿 쿠폰'도 증정하고 있다. 그 결과 쿠팡이츠의 지난 7월 월간순활성자수(MAU)는 520만 명 수준으로 전년 대비(134만 명) 4배가 증가했다.

매출은 늘어났지만, 쿠팡의 적자 폭 줄이기는 쉽지 않을 전망이다. 전북 완주, 경남 창원, 경남 김해, 충북 청주, 부산에 1조원을 투입해 물류센터를 짓기로 한만큼 신규 물류센터 착공 및 준공에 따른 비용부담이 늘었고, 점유율 확대를 위한 비용까지 상당하기 때문이다. 업계 관계자는 ""지난 2분기 덕평물류센터 화재로 인한 순손실 증가 등 비용은 이번 3분기 실적에서 줄어들겠지만, 또 다른 비용이 발생할 것""이라고 밝혔다.

[홍성용 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.10.25 17:46,KB자산운용 해외부동산 투자 약정액 2조 돌파,"KB자산운용의 해외부동산펀드 누적 약정액이 2조원을 돌파했다. 2018년 이현승 대표가 대체부문 대표를 맡으면서 해외부동산운용본부를 신설하며 적극 투자에 나선 결과다. 이 대표가 올해 초 단독 대표이사가 되면서 KB운용의 해외 대체투자는 코로나19 상황 속에서도 가속페달을 밟는 모습이다. 25일 KB운용은 해외부동산투자 약정 규모가 2018년 말 5600억원에서 2019년 1조원을 넘었고, 최근 2조2800억원까지 성장했다고 밝혔다.

최근 2년은 코로나19 여파로 해외 실사가 어려운 상황이었지만, KB운용은 올해만 7182억원 규모의 펀드를 신규로 약정했다.

지난 3월 3100억원 규모의 미국 선순위 부동산 펀드를 시작으로 2700억원 규모의 영국 선순위 부동산 펀드와 1300억원 규모의 미국 임대주택 펀드를 차례로 설정하는 데 성공했다.

특히 가장 최근에 설정된 'KB해외투자 전문투자형 사모부동산투자신탁 제15호(재간접형)'는 미국 임대주택에 대출하는 상품으로 오피스, 호텔 등 경기 상황에 민감한 자산에 비해 안정적인 현금 흐름을 창출할 수 있어 기관투자자들의 호응이 높았던 것으로 알려졌다. 홍성필 KB운용 해외부동산운용본부 본부장은 ""하반기에 중순위 대출 및 지분 펀드를 추가로 설정할 예정""이라며 ""내년 상반기에는 약정액 3조원 돌파도 가능할 것""이라고 말했다.

[문지웅 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.10.25 17:45,날아라 치킨株!,"국민 간식인 치킨 관련주가 양호한 실적이 예상되고 성장성이 기대돼 주목할 필요가 있다는 목소리가 커지고 있다. 최근 관심을 끄는 치킨주는 상반기 기준 가입자 177만명을 보유한 국내 1위 닭가슴살 유통 플랫폼 '랭킹닭컴' 운영업체 푸드나무다. 올해 들어 25일 기준 주가가 66%가량 오른 4만350원을 기록하며 최근 하락 장에서도 강한 모습을 보이고 있다.

금융투자 업계는 푸드나무의 실적 전망을 밝게 보며 특히 신사업과 중국 사업에 대한 기대가 주가 상승의 동력이 될 수 있다고 보고 있다.

허선재 유안타증권 연구원은 ""1인 가구, 운동·홈트레이딩 인구 증가, 온라인 식품 구매 확대 등 시장의 구조적 변화에 더해 성수기 효과로 3분기에 561억원의 사상 최대 매출을 경신할 것으로 추정된다""며 ""올해까지 내수 위주의 성장을, 내년부터는 본격적인 중국 시장 진출과 인공지능(AI)·메타버스 신사업에 따른 실적 향상이 이뤄질 것으로 예상되는 만큼 지금부터 주목할 필요가 있다""고 말했다.

국내 1위 치킨 프랜차이즈 업체 교촌에프앤비 역시 현재의 실적과 미래의 성장성을 모두 갖췄다는 평가가 나온다. 남성현 한화투자증권 연구원은 ""스포츠 이벤트(올림픽), 계절적 성수기, 배달 서비스 증가, 대형매장 전환과 신규점 출점 등으로 3분기 매출액과 영업이익이 1245억원, 153억원으로 전년 동기 대비 각각 11%, 13% 늘어날 것으로 추정된다""며 ""원가율 부담에도 구조적 성장이 이뤄지고 있고, 유통사업부 확대가 예상돼 주가 하락을 매수 기회로 삼을 필요가 있다""고 조언했다.

[강봉진 기자]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
